manager_short_name,manager,player_name,team,photo,player_id,points,ppg
SL,Sami,Cash,AVL,199796,1,-1.0,-1.0
SL,Sami,Brooks,BOU,111317,1,2.0,2.0
SL,Sami,Barnes,NEW,201666,1,11.0,11.0
SL,Sami,B.Fernandes,MUN,141746,1,3.0,3.0
SB,Sandipan,Szoboszlai,LIV,424876,1,2.0,2.0
SB,Sandipan,Steele,BHA,49262,1,2.0,2.0
SB,Sandipan,Saliba,ARS,462424,1,5.0,5.0
SB,Sandipan,N.Jackson,CHE,517052,1,1.0,1.0
SB,Sandipan,Mudryk,CHE,465920,1,1.0,1.0
SB,Sandipan,Gabriel,ARS,226597,1,1.0,1.0
SB,Sandipan,Estupiñan,BHA,204214,1,7.0,7.0
SB,Sandipan,Danjuma,EVE,220307,1,1.0,1.0
SB,Sandipan,Colwill,CHE,460028,1,2.0,2.0
SB,Sandipan,Bowen,WHU,178186,1,9.0,9.0
SB,Sandipan,Alexander-Arnold,LIV,169187,1,1.0,1.0
RK,Ruslan,Virgil,LIV,97032,1,2.0,2.0
RK,Ruslan,Veltman,BHA,111478,1,1.0,1.0
RK,Ruslan,Trossard,ARS,116216,1,1.0,1.0
RK,Ruslan,Mount,MUN,184341,1,3.0,3.0
RK,Ruslan,Mitoma,BHA,451340,1,5.0,5.0
RK,Ruslan,José Sá,WOL,149065,1,2.0,2.0
RK,Ruslan,Ings,WHU,84939,1,1.0,1.0
RK,Ruslan,Haaland,MCI,223094,1,13.0,13.0
RK,Ruslan,Dunk,BHA,83299,1,2.0,2.0
YE,Youssef,White,ARS,198869,1,1.0,1.0
